gene,log2FC,t_stat,p_value,case_mean,ctrl_mean,p_adj
SNRK,0.6352052771382386,6.552301463035085,2.0787908427142606e-08,0.2288850390512821,-0.4063202380869565,1.5772677034034259e-06
C3AR1,0.5090747996473685,6.453387236975232,2.1267352569991424e-08,0.17813187014736845,-0.33094292950000004,1.6044767467292392e-06
CD79B,-0.8510263420042736,-6.457855177953594,2.1445880602502033e-08,-0.27233671855982916,0.5786896234444444,1.6088045346893898e-06
FN3KRP,-0.499147630625,-6.487007165415438,2.1782784540675845e-08,-0.18272751250000005,0.316420118125,1.624897826579179e-06
GAA,0.49976253154166667,6.42892104550233,2.1981479897421085e-08,0.23736004633333335,-0.2624024852083333,1.6305591624466881e-06
MTO1,-0.1832148014551282,-6.426610331138305,2.2358412817351235e-08,-0.08514318753846152,0.09807161391666668,1.649305585493276e-06
PADI4,1.0232109887828948,6.435288607410033,2.28530408891131e-08,0.33589448815789474,-0.687316500625,1.6764788780422307e-06
SLC22A4,0.8019710230526316,6.60297448401148,2.4055368834651563e-08,0.25669135555263156,-0.5452796675,1.7453944665929151e-06
NSMCE1,-0.40911091337499994,-6.599833359899453,2.402678963756003e-08,-0.14269996949999997,0.266410943875,1.7453944665929151e-06
ITPK1,0.6267018326513158,6.563542624421219,2.4933647209789226e-08,0.3396088715263158,-0.287092961125,1.7992878676716378e-06
ZFP3,-0.35367416062938595,-6.486739764958444,2.5670026225072608e-08,-0.13064887692105262,0.22302528370833333,1.834520898716651e-06
MRPL41,-0.4271546610460527,-6.403356459390528,2.583637656725514e-08,-0.26843881692105265,0.15871584412500003,1.834520898716651e-06
ABHD5,0.796683251486842,6.482980958533965,2.579480446376438e-08,0.3236423527368421,-0.47304089874999994,1.834520898716651e-06
FAM102A,-0.42491628123397435,-6.411000880115312,2.6210594413548592e-08,-0.17704745585897436,0.247868825375,1.8511929394845647e-06
WBSCR22,-0.48255558594956144,-6.441859446949146,2.6376271590619816e-08,-0.19542141815789477,0.2871341677916667,1.8530377469854494e-06
WAS,0.5449577848771929,6.394278602998821,2.677286234243323e-08,0.2858957722105263,-0.2590620126666667,1.871000348330676e-06
DEXI,-0.5759750608728071,-6.418806693737493,2.7026756059806187e-08,-0.26386777928947375,0.31210728158333334,1.8788548008487254e-06
PELI2,0.5332730411710527,6.537044063709267,2.748660557470838e-08,0.17038259892105262,-0.36289044225000006,1.9008705667759263e-06
KCNJ15,0.5791070390085471,6.367364127607942,2.7990737902976745e-08,0.25138921117521373,-0.3277178278333333,1.925704755832773e-06
PCSK7,-0.5512528711929824,-6.454174382153502,2.887397329328808e-08,-0.23710341202631577,0.31414945916666664,1.976229986537521e-06
CASP1,0.35533140638942307,6.42601237270055,2.951149915188655e-08,0.16755348085470084,-0.18777792553472225,2.0095060807115365e-06
LRRFIP1,0.7848714957324414,6.49406424169836,3.065939335640874e-08,0.3004797413846153,-0.4843917543478261,2.077017474420384e-06
STAT5A,0.4093155569108138,6.37123204896177,3.0845432059823086e-08,0.18667896012820512,-0.2226365967826087,2.0790134359915275e-06
MRPS17,-0.37183173238684497,-6.357820901103806,3.2422691702975575e-08,-0.15071612125641026,0.22111561113043474,2.1742853557177258e-06
PPP1R13B,-0.37777760078070166,-6.3935481412977015,3.276433676347069e-08,-0.13445665794736836,0.2433209428333333,2.175224317726819e-06
MXD1,0.7059353340891862,6.434703985094752,3.2637539877811166e-08,0.19376458787179487,-0.5121707462173913,2.175224317726819e-06
RNF20,0.46720518913377196,6.501911998256306,3.374601068845964e-08,0.21889601434210526,-0.2483091747916667,2.2292513926436174e-06
RBP7,0.7725108002960528,6.439241640025428,3.4505900336715256e-08,0.29614511342105265,-0.4763656868750001,2.268165072628243e-06
SCYL2,0.4405662310981047,6.485468192570107,3.501985487825652e-08,0.16981261835897432,-0.2707536127391304,2.29060902991867e-06
