,NETosis_AIMS,Kynurenine_AIMS,Inflammasome_AIMS,Complement_AIMS,Metabolic_Stress_AIMS,Cytokine_Storm_AIMS,Angiogenesis_AIMS,Apoptosis_AIMS
GSM922936,1.1155618544560642,0.5185995272096224,0.21142392364929896,0.5305588844259372,-0.11170002226690387,-0.48792178748619647,0.2310890103558625,0.4068953017503942
GSM922937,0.040603143551360875,0.18825472636095236,-0.09790510867363612,-0.20044946374938558,0.016236645687474627,0.04797590211773417,-0.47061620152042516,-0.07816789199919424
GSM922938,0.37409414727031376,-0.5458139273184326,0.34495923854357985,0.23465611548952092,0.11002171510273995,0.19945851614636775,-0.10514646011334984,0.05326912983780062
GSM922939,0.7789716765031081,-0.22202372288498623,0.4169178166846597,0.8852887698130236,0.21053871129717994,0.4056720734021166,-0.22897099884965877,0.22067741904154364
GSM922940,0.007359405849690293,-0.0529943090597706,0.18528865546660267,0.4173619292454026,0.08692479902320173,0.2273568716066967,-0.09350281147981158,0.01703415396733468
GSM922941,-0.10989459441488765,-0.17594028284222146,0.04406112935333284,-0.2616446019251928,0.28375321063222403,0.22409184365103454,-0.11413528841839839,0.25600211470254797
GSM922942,0.34200608637347124,-0.5501630913928262,0.7576328479276238,0.09451972482074875,-0.07990030734696761,0.25858906326341025,0.09803654628983599,0.3315812995208946
GSM922943,-0.19197802010918674,-0.44569140494229986,-0.49828047022591077,-0.05299124038022257,-0.09415643966519897,0.06695224354293304,-0.2146427277415208,0.07119303218030204
GSM922944,0.21529290624394504,-0.3503416048272314,0.4348404312806891,-0.1895348281359906,0.04030086607164745,-0.214768851797165,-0.3093822100772034,-0.24621695169980715
GSM922945,0.09582421281321933,1.0179090377667597,-0.1563724729040859,-0.1401527977386357,-0.17324402314782242,0.004477127557560495,0.5090505094020576,-0.4078384768680702
GSM922946,0.08849737889720234,1.062905721767308,-0.05164189014245582,-0.1945901280579482,0.02769916401908022,-0.17853472408131071,0.5470018360552146,0.09175722908313258
GSM922947,0.3083258091740966,0.16906696638171867,0.2420203531071648,0.31172423286933293,0.08019029060417561,0.13678138261819492,0.022195889186043965,0.3527828502319567
GSM922948,-0.2892593879856721,0.2845513914700836,-0.17565930985286238,-0.5112571248769632,0.14823485214714263,0.276522047057328,-0.17730327319548314,-0.15772107809054547
GSM922949,-0.3315091491917373,0.9774520749512605,-0.5791794710486362,0.4117415522798734,0.14129171395610618,-0.01659054566350928,0.5346833033244693,-0.22217180613824805
GSM922950,-0.03705312267911931,0.3765624908459789,0.01746599694632482,-0.45840244967270916,-0.07147518104773773,-0.23961466521959235,-0.16563184656489824,-0.0063711617979431145
GSM922951,-0.3373564131863868,0.34703296330190464,-0.01750958711417322,0.07387677130567262,0.18355131770886382,-0.020146972050913203,-0.027703897566083654,-0.06813555632296807
GSM922952,-0.004026526414806178,-0.12980556454941866,-0.08557461619190719,-0.3920479682618707,0.4392878308154606,-0.12234251109958516,-0.04215834882553671,-0.21273663112492605
GSM922953,-0.07685812815323458,0.6088764343579389,0.1687423621533573,-0.8378832893399797,0.02381511501789896,0.09551022150682364,0.04357780344245031,-0.0017193835829400449
GSM922954,0.12535417963661166,0.1883789846925503,0.11887388791355305,0.19281395706808968,0.24738776920974362,0.5956510410731436,-0.23679119727621994,0.9764624266568169
