gene,GSE16561_log2FC,GSE16561_pvalue,GSE16561_padj,GSE22255_log2FC,GSE22255_pvalue,GSE22255_padj,GSE37587_log2FC,GSE37587_pvalue,GSE37587_padj,meta_padj,TRI
TIMD4,0.0292370640285087,0.7107534625327685,0.914201661050928,0.0230319999999992,0.6829953071195687,0.8807236756272344,-0.1764705882352757,0.9772964874378184,0.9930417485079848,0.9766380463285417,9.705510075264742e-05
RFC4,-0.2104192231858974,2.1901663910068007e-05,0.0003704589724813,-0.0306810000000004,0.776537155775412,0.922107953784202,-31.01911764705881,0.0578985931055018,0.307142436777808,0.0003130833489335236,0.017059860334798373
TRIM55,0.0260510720117521,0.776034048728024,0.9247385537071136,0.0527317500000004,0.1667255082080131,0.5607932711280169,3.5058823529411427,0.0785583923916842,0.3580184854070284,0.480534146132652,0.001928161334952778
MRPS26,-0.4480783846425438,1.9091711267673195e-08,1.4738357105358412e-06,0.0371482499999995,0.379783181238703,0.7073153791973575,84.03235294117633,0.0013496113437192,0.0372475391822703,1.0462443771033035e-07,0.046216021393402903
ANKRD46,-0.2310474562061403,0.0084073734684589,0.0453977653168759,-0.2206858333333325,0.0213053610888068,0.3860224288049543,-82.74411764705883,0.0039190529413244,0.0712838150067198,0.003453763254679478,0.045507519157908585
MBNL1,0.2400264946287393,0.001226947555863,0.0095663004384909,0.0273840624999994,0.6703020320751788,0.8748196701892008,-446.7107843137253,0.0015859569724427,0.0408107300001837,0.0004362707906845935,0.24568150768024793
WAC,0.274328941809829,7.97243738604662e-09,7.959249895633611e-07,0.0020931666666648,0.9384341393204896,0.9816788215534102,-120.8352941176472,0.1928260196274112,0.5387929058528549,2.0405705521623113e-06,0.06645686265536979
RASSF6,0.0949640387222222,0.185731549481271,0.5179885557681826,-0.0319938333333342,0.6755740653422124,0.877116694985225,-5.972549019607925,0.7729001533297155,0.9266427301049176,0.6861040819673249,0.0032847759654733217
PNKP,-0.029602667491228,0.7097676602858173,0.914201661050928,-0.067270999999998,0.3103283789336829,0.6584548159144605,54.585294117647095,0.147784604604764,0.4821430122206146,0.6093826542279926,0.030020760247809544
CDS2,0.2843998239320175,0.0025560849194391,0.0172809040531123,-0.0914772999999993,0.0264301681620598,0.3979512217462828,22.03235294117644,0.6948159808784409,0.8928663771424549,0.0575681672112103,0.012117329328969279
GPNMB,0.107097101852564,0.3230584681500676,0.7369064762841038,-0.0644524999999993,0.3664214176951859,0.6976396262997899,-10.357352941176458,0.158933903697708,0.4964249128567868,0.4421645415234264,0.005696325621674719
PSMD4,0.083340826025641,0.3280566211410294,0.742961800424592,-0.041729124999998,0.211179067436373,0.5967302952586,65.87352941176368,0.6069486445226362,0.8540861569809461,0.770762106539418,0.03622905152595396
TLR8,0.493521746565171,9.367856818738782e-07,2.9972627190171936e-05,-0.0911267500000043,0.5757044904070907,0.8229215958235956,-225.54705882353005,0.0955274263958632,0.3885487305945405,4.2739496863637e-05,0.12404612427197197
KIAA0319L,0.5126189965416666,9.857859889060544e-09,9.103192984174264e-07,-0.1566802500000008,0.0963857419835139,0.4950989533474816,-5.542156862745173,0.9266500577060132,0.9780487664525732,7.378233764200055e-06,0.00304806935863767
RXRA,0.4827533935307018,3.4599619068444148e-06,8.668183811147197e-05,-0.0403185000000014,0.694886665437388,0.8850541253353374,128.67352941176614,0.7638427615840655,0.9227826574755,0.0005514200272868197,0.07076772671380104
PASD1,0.0075701388947368,0.9419424364363792,0.9775264199189736,0.0815730000000014,0.146562587469743,0.5410225288916455,-2.9058823529411484,0.3855083122344418,0.7181658115954594,0.8992763184888547,0.0015981739923937456
BRPF3,0.1302126361381579,0.0413607285197731,0.1647728032659909,0.0341218333333319,0.4305768477591476,0.7403697385557186,-31.64411764705892,0.3036743966449833,0.6538330855605786,0.20266267260947513,0.017403597149964097
