Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),20/500,0.0006642059561076276,0.0257483590172347,0,0,2.383706467661692,17.441385431490975,RNASEL;ROCK1;LRRK2;EIF2AK2;IRAK3;SRPK1;STK3;PAK1;SNRK;PPP4R1;CREB1;TAOK1;PDK4;CTSG;PKN2;TRIB1;JAK2;TLR4;PAK2;TLR2
GO_Biological_Process_2023,Regulation Of Chemokine Production (GO:0032642),5/41,0.0007594253763500161,0.0289866824419136,0,0,7.781349206349207,55.89303056621944,EIF2AK2;F2RL1;HIF1A;TLR4;TLR2
GO_Biological_Process_2023,Positive Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903846),4/24,0.0007829627113740376,0.0289929923420744,0,0,11.182336182336185,79.980826302149,SDCBP;CREBBP;LRG1;THBS1
GO_Biological_Process_2023,Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030511),4/24,0.0007829627113740376,0.0289929923420744,0,0,11.182336182336185,79.980826302149,SDCBP;CREBBP;LRG1;THBS1
GO_Biological_Process_2023,Membrane Organization (GO:0061024),10/167,0.0008244831678240137,0.0300815108731084,0,0,3.597895319855996,25.54776897666393,SH3GLB1;GCA;FCHO2;MYADM;PPT1;TOR1AIP1;STX11;CORO1C;PICALM;LMNB1
GO_Biological_Process_2023,Glucose Homeostasis (GO:0042593),7/87,0.0009059401528171258,0.0321187981939977,0,0,4.919360632183908,34.46768381367545,HK3;CYB5R4;STAT3;PDK4;PYGL;HIF1A;HK2
GO_Biological_Process_2023,Regulation Of Lysosomal Lumen pH (GO:0035751),4/25,0.000919159480763337,0.0321187981939977,0,0,10.649301315967982,74.46045699318508,ATP6V1A;GRN;LRRK2;PPT1
GO_Biological_Process_2023,Regulation Of Platelet Aggregation (GO:0090330),4/25,0.000919159480763337,0.0321187981939977,0,0,10.649301315967982,74.46045699318508,CEACAM1;EMILIN2;CTSG;JAK2
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),8/114,0.0009794907182178892,0.0337516176652581,0,0,4.249687347071937,29.443864426958346,ORM1;STAT3;F2RL1;IRAK3;BPI;LILRB2;TLR4;TLR2
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),17/406,0.0010119934393681,0.0338602412439415,0,0,2.4897096180465765,17.168622220016907,AQP9;HMGB2;LY96;IQGAP1;PPBP;FOS;LILRB2;TNFRSF1B;MMP9;ZFP36L1;CREB1;RRAGD;PDK4;CTSG;CD14;TLR4;TLR2
GO_Biological_Process_2023,Regulation Of Vesicle-Mediated Transport (GO:0060627),7/89,0.0010365571220757,0.0338602412439415,0,0,4.798885618166526,32.97722461653812,HIP1;LRRK2;PACSIN2;STXBP5;RAB8B;RAB33B;PICALM
GO_Biological_Process_2023,Negative Regulation Of Gene Expression (GO:0010629),15/336,0.0010497683055829,0.0338602412439415,0,0,2.6558548653106104,18.21700198035812,NOTCH2;SLC11A1;STAT3;EIF2AK2;PARP9;KLF4;HIF1A;YY1;MYADM;NPTN;IGF2BP2;CD46;DCP2;HSPA1A;PICALM
