gene,log2FC,t_stat,p_value,p_adj
VBP1,-337.5647058823529,3.7700040315626766,0.0003536816473847905,0.017313824054044673
PDXP,97.93235294117642,-3.7691001382162215,0.00035467390741829725,0.017313824054044673
CCDC90B,-354.0558823529411,3.763121724505645,0.00036337658499421924,0.017673678738290267
FBXW7,-71.71176470588244,3.8004830957873574,0.00037006322324659966,0.017867998102794
MCM3AP,110.7558823529414,-3.7568482456502137,0.0003691758905915434,0.017867998102794
PRKAG2,-55.84313725490199,3.7598068409299956,0.00037281609415991374,0.01787094620308785
CALR,129.37647058823518,-3.767311130117672,0.0003725853580807659,0.01787094620308785
MED4,-151.67647058823525,3.75452026216094,0.0003760422227523934,0.01796075048095784
CPNE1,161.28725490196086,-3.747745660127028,0.0003797955372498978,0.01807500051471019
NSMAF,-464.7911764705882,3.7979226507190975,0.00038315321692986037,0.01810501215087077
AP1S2,-2434.0617647058825,3.7449847422538145,0.00038274990283357476,0.01810501215087077
RPL39L,-72.56176470588247,3.7731091362275553,0.0003877724146513571,0.018258305396243683
MED9,28.561764705882297,-3.7314630339621697,0.0003988634025488321,0.018714163459517288
SNRPG,-1993.8500000000004,3.7379347449887317,0.00040375556915793487,0.018869951113152608
FBXW8,-31.79705882352937,3.7336517540162815,0.00040502606320594163,0.018869951113152608
TBPL1,-283.508823529412,3.721286338002632,0.0004131065189074845,0.019094590252316884
MECP2,30.879411764705935,-3.724396958881589,0.00041141554516236685,0.019094590252316884
SERPINA1,1801.4647058823539,-3.7473381225333733,0.00041416192142395414,0.019094590252316884
ACTR6,-270.47058823529414,3.7177062138426646,0.00041966545061428775,0.019281376654866823
ENY2,-576.0147058823534,3.7113353216903886,0.00042573265127015365,0.01929262755409069
NOTCH2,-97.78529411764714,3.7151783368070816,0.00042291130640624536,0.01929262755409069
PNPO,170.19705882352946,-3.7267472136514437,0.0004258192619174527,0.01929262755409069
PPP3CB,-381.9617647058826,3.73616953794818,0.000427175214708741,0.01929262755409069
PRCC,36.585294117647095,-3.71441059410438,0.0004232403919133354,0.01929262755409069
AKAP7,-200.0617647058823,3.7621800626141297,0.000439823758672178,0.019796541924234506
LMBR1,-58.867647058823536,3.707976840054717,0.0004431068581633518,0.01987693534693576
CLEC4D,-198.35588235294125,3.805056663705429,0.0004473366640589925,0.01988318264357918
ATP6V1G1,-1345.7029411764715,3.7214320501675706,0.00044688005907534377,0.01988318264357918
NUP214,-1687.0235294117647,3.7118806590108733,0.00044773848549707596,0.01988318264357918
MTHFS,-494.0852941176472,3.708640169626812,0.00045417990830523666,0.01995619165620405
LEPR,-32.32254901960786,3.7436154446262053,0.0004530316992845698,0.01995619165620405
ENO1,2120.3470588235314,-3.6947502777079824,0.00045539434190614757,0.01995619165620405
SLC25A23,302.03235294117644,-3.7289177068743893,0.000454122310696307,0.01995619165620405
ZNF24,-28.19705882352943,3.7129394085369825,0.0004630116627733499,0.02015694707640833
UBL5,-344.66029411764725,3.6860669192723967,0.0004625151636908247,0.02015694707640833
SH3BGRL3,3114.0941176470587,-3.691772465150887,0.00046545749703796164,0.020197204724411943
SLC30A9,-108.01176470588234,3.6820585510679344,0.0004680685859006461,0.020244347503546513
RNPS1,131.52647058823516,-3.686334085499885,0.00047342275312001176,0.02034338937193371
RTP1,-16.335294117647067,3.704685459502355,0.000472575541371932,0.02034338937193371
SLC40A1,-714.4617647058824,3.706282821998792,0.0004825848153120137,0.020670197347461023
CCL24,-9.494117647058829,3.669916718854579,0.00048690597559315394,0.02068113582079347
PGBD4,-30.82647058823528,3.6851300569401246,0.00048721635444654883,0.02068113582079347
NFKB1,1154.338235294118,-3.6741766914367737,0.0004875128416861241,0.02068113582079347
ARHGAP21,-260.73823529411754,3.7822855188505606,0.0004893532530656046,0.02068172524915418
SRRM2,677.2176470588238,-3.6898652952305193,0.000490641922991683,0.02068172524915418
IDH3G,135.09705882352955,-3.6631110223283607,0.0004992572792495831,0.020978285297075835
IFNG,-63.7823529411765,3.7231227482126252,0.0005012987604401508,0.02099761811080228
GNAI2,1855.4352941176485,-3.687170716679721,0.0005085217729118973,0.021233182706679787
ZNF564,-102.3941176470588,3.7123589212955426,0.0005124990847462285,0.021285849378097535
RBM25,-310.77352941176446,3.6773647610796227,0.0005129892906304572,0.021285849378097535
DNAJB9,-107.33823529411762,3.662215890539904,0.0005236251003295357,0.02165948312204229
